order_id;customer_id;order_date;payment_value;decoy_flag;decoy_noise
101000;684;29/01/2024;38.93;A;39.51
101001;207;29/06/2024;59.52;B;38.97
101002;288;20/03/2024;355.52;B;338.14
101003;571;24/02/2024;157.65;C;121.69
101004;871;11/01/2024;287.68;C;254.92
101005;236;11/01/2024;289.59;B;295.11
101006;593;04/01/2024;140.76;C;193.62
101007;429;30/04/2024;246.92;C;311.82
101008;951;25/02/2024;133.67;C;143.8
101009;989;14/03/2024;114.33;C;117.16
101010;689;02/01/2024;92.59;C;73.65
101011;829;29/07/2024;234.63;C;204.94
101012;552;17/04/2024;399.58;C;389.49
101013;82;15/01/2024;368.18;C;311.97
101014;162;13/01/2024;51.38;B;52.28
101015;113;13/01/2024;394.65;C;369.9
101016;601;22/01/2024;74.91;B;100.78
101017;524;14/02/2024;185.68;C;200.88
101018;493;03/02/2024;210.54;C;194.1
101019;399;21/01/2024;39.09;B;31.55
101020;875;26/02/2024;145.12;B;113.32
101021;472;10/01/2024;411.15;C;404.8
101022;265;21/01/2024;12.99;D;-5.79
101023;744;28/01/2024;714.54;A;688.41
101024;916;06/02/2024;19.71;D;-7.5
101025;89;02/04/2024;206.68;C;191.6
101026;367;14/01/2024;41.12;C;59.55
101027;216;13/02/2024;230.95;A;224.14
101028;561;23/02/2024;357.31;C;372.38
101029;986;03/01/2024;293.8;C;286.67
101030;270;26/02/2024;327.47;C;254.52
101031;901;12/01/2024;134.14;C;84.09
101032;894;05/01/2024;409.24;C;419.09
101033;816;27/06/2024;611.16;B;727.26
101034;825;21/07/2024;178.74;A;145.43
101035;861;09/04/2024;122.22;C;120.2
101036;572;22/01/2024;84.88;B;132.62
101037;456;07/01/2024;280.75;B;231.26
101038;337;10/03/2024;338.19;C;393.86
101039;758;04/02/2024;122.26;C;142.26
101040;299;08/01/2024;469.64;D;462.9
101041;214;11/02/2024;264.52;B;278.37
101042;594;03/01/2024;177.2;C;219.95
101043;859;24/05/2024;211.63;C;209.5
101044;64;18/01/2024;68.9;C;35.18
101045;770;06/03/2024;278.52;C;234.11
101046;769;23/01/2024;73.21;B;58.66
101047;630;14/02/2024;109.69;C;109.16
101048;832;17/02/2024;157.44;D;138.45
101049;489;13/01/2024;548.9;C;624.02
101050;328;28/07/2024;199.34;C;231.51
101051;853;30/03/2024;79.98;B;86.38
101052;536;17/06/2024;212.21;A;151.31
101053;386;15/05/2024;253.41;D;256.96
101054;748;24/02/2024;376.59;C;346.8
101055;315;01/06/2024;163.55;B;184.47
101056;614;06/01/2024;91;A;68.58
101057;988;14/01/2024;645.7;C;730.71
101058;418;03/01/2024;212.55;C;154.39
101059;312;24/01/2024;80.43;C;10.8
101060;460;30/01/2024;162.44;D;173.45
101061;370;19/01/2024;109.73;B;110.92
101062;5;15/04/2024;392.05;C;386.91
101063;109;27/01/2024;251.7;B;207.46
101064;892;20/01/2024;129.45;B;149.65
101065;183;16/02/2024;338.33;C;305.91
101066;631;10/01/2024;152.43;A;159.35
101067;292;07/04/2024;159.56;B;93.35
101068;840;05/01/2024;88.82;B;88.24
101069;862;17/09/2024;88.2;B;57.3
101070;695;29/03/2024;617.81;C;679
101071;650;14/01/2024;327.46;D;276.86
101072;85;01/01/2024;25.12;A;65.36
101073;174;11/04/2024;71.6;B;76.94
101074;564;14/03/2024;58.44;A;52.65
101075;958;19/03/2024;174.52;C;147.07
101076;738;29/03/2024;118.63;B;135.13
101077;738;05/01/2024;445.48;C;438.63
101078;644;27/01/2024;127.96;A;123.34
101079;184;08/01/2024;576.82;B;581.87
101080;267;29/04/2024;156.08;B;113.18
101081;470;28/02/2024;659.87;B;707.93
101082;105;25/01/2024;141.89;C;151.13
101083;178;04/01/2024;144.11;B;105.24
101084;701;23/01/2024;322.49;C;284.56
101085;663;24/01/2024;290.7;B;326.5
101086;382;19/03/2024;49.26;C;81.26
101087;113;01/03/2024;177.73;C;212.99
101088;994;10/05/2024;117.73;B;149.06
101089;286;08/02/2024;111.16;C;87.19
101090;123;08/01/2024;177.08;B;204.31
101091;985;15/03/2024;132.17;C;122.27
101092;88;26/03/2024;191.43;C;185.67
101093;537;19/02/2024;68.64;C;66.5
101094;542;29/03/2024;38.19;A;73.61
101095;679;10/02/2024;331.09;A;291.84
101096;976;14/02/2024;366.72;C;284.67
101097;586;03/02/2024;317.01;C;303.92
101098;991;02/01/2024;171.14;D;181.47
101099;892;07/01/2024;124.11;D;100.4
101100;907;02/01/2024;98.9;B;122.84
101101;585;01/03/2024;83.67;B;62.46
101102;420;23/01/2024;156.22;C;152.01
101103;624;12/02/2024;360.59;D;367.69
101104;723;22/05/2024;91.87;A;125.6
101105;692;18/01/2024;361.01;B;319.53
101106;517;01/02/2024;40.37;C;40.68
101107;844;25/03/2024;198.9;C;146.56
101108;714;16/01/2024;230.22;C;233.42
101109;256;05/01/2024;108.05;A;147.7
101110;654;21/01/2024;64.51;C;62.74
101111;916;11/01/2024;301.5;B;297.04
101112;532;08/06/2024;172.13;C;203.38
101113;940;09/04/2024;791.38;B;771.82
101114;100;01/03/2024;364.34;C;373.44
101115;281;03/05/2024;366.31;C;337.32
101116;169;07/04/2024;9.24;C;-43.33
101117;366;13/01/2024;93.48;D;79.09
101118;383;13/05/2024;57.45;A;24.48
101119;325;16/02/2024;19.43;C;24.82
101120;233;08/04/2024;161.77;D;145.34
101121;91;15/05/2024;296.29;C;301.15
101122;770;23/01/2024;70.67;C;105.03
101123;908;07/01/2024;20.98;C;67.05
101124;28;16/01/2024;76.24;A;48.41
101125;44;03/02/2024;146.88;C;189.62
101126;653;12/04/2024;138.44;D;166.84
101127;597;28/04/2024;168.03;D;173.96
101128;811;01/01/2024;226.78;C;218.13
101129;311;12/02/2024;164.87;B;151.41
101130;904;02/02/2024;307.85;A;265.77
101131;892;16/01/2024;71.9;D;96.94
101132;832;08/01/2024;133.85;C;144.18
101133;373;25/01/2024;254.18;B;233.77
101134;780;20/06/2024;205.67;D;204.48
101135;297;24/01/2024;532.85;A;665.76
101136;44;13/02/2024;74.74;B;71.93
101137;11;13/03/2024;257.45;C;280.52
101138;787;28/01/2024;97.84;B;82.85
101139;381;02/08/2024;88.72;D;100.22
101140;828;15/07/2024;349.54;B;379.62
101141;712;18/01/2024;163.44;B;88.59
101142;923;11/02/2024;203.09;C;204.62
101143;505;22/01/2024;104.43;C;106.74
101144;199;21/01/2024;109.66;A;112.29
101145;469;03/01/2024;37.38;C;40.23
101146;121;26/02/2024;191.3;A;214.89
101147;923;11/02/2024;65.51;A;60.05
101148;14;04/01/2024;149.03;A;193.98
101149;992;20/01/2024;307.62;C;301.81
101150;477;23/05/2024;26.75;C;11.43
101151;408;17/01/2024;928.5;B;995.56
101152;576;10/01/2024;87.11;C;91
101153;732;10/02/2024;152.43;C;175.79
101154;664;11/09/2024;202.9;C;199.9
101155;758;17/01/2024;84.55;B;118.6
101156;898;07/03/2024;112.98;C;131.62
101157;948;27/03/2024;357.36;C;399.97
101158;95;17/01/2024;284.75;A;275.29
101159;268;19/03/2024;136.13;B;88.56
101160;193;28/01/2024;166.43;C;253.13
101161;444;01/03/2024;185.4;C;246
101162;58;01/03/2024;249.48;C;330.39
101163;981;16/02/2024;262.33;C;200.64
101164;989;06/01/2024;257.44;C;301.74
101165;94;18/04/2024;119.14;B;113.02
101166;298;24/01/2024;180.96;B;167.89
101167;513;13/01/2024;331.6;C;269.15
101168;406;03/01/2024;644.62;B;571.21
101169;362;23/02/2024;177.16;C;194.85
101170;328;08/03/2024;106.19;C;115.39
101171;909;02/01/2024;83.13;D;170.48
101172;206;13/02/2024;258.86;C;285.92
101173;193;16/01/2024;35.53;C;43.88
101174;224;03/03/2024;260.72;C;252.33
101175;38;12/01/2024;263.97;C;248.32
101176;448;11/03/2024;109.44;C;78.86
